"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpu.FunctionCall","cpuTime","run","cached","renderBlocking","jpeg_scan_count","score_progressive_jpeg","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","initiator_function",
"3","230330_A8_CS","000D6344BF781DD833336E737ABF5507","127.0.0.1","http://staticxx.facebook.com/connect/xd_arbiter/r/XBwzv5Yrm_1.js?version=42","0","GET","staticxx.facebook.com","/connect/xd_arbiter/r/XBwzv5Yrm_1.js?version=42","000D6344BF781DD833336E737ABF5507","29FA050FF528FB46A3EB78C9C7279064","http://staticxx.facebook.com/connect/xd_arbiter/r/XBwzv5Yrm_1.js?version=42","301","","431","431","8343","8343.487","0","0","","","","text/plain","","177","http/1.1","8294","8294","8339","8343","-1","-1","https://pakistan.gov.pk/","0","","parser","Highest","Highest","","1666","-1","100","-1","-1","-1","-1","-1","-1","-1","0","4","-1","","","","","","","","Facebook","","8337","","","","","8080","","","8774","8343","8774","8774","8774","0","8339","8774","435","20","21","","","","","1","0","","","","","","","","",
"3","230330_A8_CS","19065.29","127.0.0.1","https://pakistan.gov.pk/images/bdybg.png","1","GET","pakistan.gov.pk","/images/bdybg.png","19065.29","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Image","1376","1369","8365","8365.174","5444","5444","5444","","","image/png","","23","http/1.1","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/css/style.css","","","parser","High","Low","","2146","0","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","5444","0","0","","","8065","","","","","8081","","","9741","8365","9734","9734","9741","7","8365","9741","1376","21","22","","","","","1","0","non_blocking","","","","","","","",
"3","230330_A8_CS","19065.28","127.0.0.1","https://pakistan.gov.pk/img/hjghjghjgjhg.jpeg","1","GET","pakistan.gov.pk","/img/hjghjghjgjhg.jpeg","19065.28","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Image","2592","2583","8421","8421.143","58193","58193","58193","","","image/jpeg","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/","472","","parser","High","Low","","2122","0","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","58193","0","0","","","8064","","","","","8081","","","11013","8421","11004","11004","11013","9","8421","11013","2592","22","23","","","","","1","0","","1","0","","","","","",
"3","230330_A8_CS","19065.71","127.0.0.1","https://connect.facebook.net/en_GB/all.js?hash=84448d4d47dbea0a512c815ab094a2a1","1","GET","connect.facebook.net","/en_GB/all.js?hash=84448d4d47dbea0a512c815ab094a2a1","19065.71","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Script","946","909","8886","8885.973","86949","86949","309809","Fri, 29 Mar 2024 14:37:33 GMT","public,max-age=31536000,stale-while-revalidate=3600,immutable","application/x-javascript","gzip","186","HTTP/2","-1","-1","8871","8873","8873","8884","https://connect.facebook.net/en_GB/all.js","21","1011","script","Low","Low","","1984","100","100","100","-1","100","-1","-1","-1","-1","-1","2","11","86949","0","","","","","31536000","Facebook","","8865","TLS 1.3","False","h2","4865","8081","","","9832","8886","9795","9795","9832","37","8871","9832","959","23","24","166","113","179","458","1","0","non_blocking","","","1","0","147","1","_",
"3","230330_A8_CS","000D6344BF781DD833336E737ABF5507-1","127.0.0.1","https://staticxx.facebook.com/connect/xd_arbiter/r/XBwzv5Yrm_1.js?version=42","1","GET","staticxx.facebook.com","/connect/xd_arbiter/r/XBwzv5Yrm_1.js?version=42","000D6344BF781DD833336E737ABF5507","29FA050FF528FB46A3EB78C9C7279064","https://staticxx.facebook.com/connect/xd_arbiter/r/XBwzv5Yrm_1.js?version=42","404","Document","475","469","9047","9046.656","9","9","9","Sat, 01 Jan 2000 00:00:00 GMT","private, no-cache, no-store, must-revalidate","text/html","","138","HTTP/2","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/","0","","parser","Highest","Highest","","2263","-1","100","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","","","","","","","","Facebook","","8788","","","","","8081","","","9522","9047","9516","9516","9522","6","9047","9522","475","24","25","","","","","1","0","","","","7","5","256","1","",
"3","230330_A8_CS","7D8F7AABC307FE369B9A311EC443A4F6","127.0.0.1","https://platform.twitter.com/widgets/widget_iframe.2b2d73daf636805223fb11d48f3e94f7.html?origin=https%3A%2F%2Fpakistan.gov.pk","1","GET","platform.twitter.com","/widgets/widget_iframe.2b2d73daf636805223fb11d48f3e94f7.html?origin=https%3A%2F%2Fpakistan.gov.pk","7D8F7AABC307FE369B9A311EC443A4F6","D8BF58C6CCE92763A361F3A158BDDB2C","https://platform.twitter.com/widgets/widget_iframe.2b2d73daf636805223fb11d48f3e94f7.html?origin=https%3A%2F%2Fpakistan.gov.pk","200","Document","910","874","9185","9184.661","105759","105759","329079","","public, max-age=315360000","text/html","gzip","144","http/1.1","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/","0","","parser","Highest","Highest","","2497","-1","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","105759","0","","","","","","Edgecast","","9173","","","","","8081","","","10095","9185","10059","10059","10095","36","9185","10095","910","25","26","","","","","1","0","","","","","","","","",
"3","230330_A8_CS","19221.5","127.0.0.1","https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/Aq2X-oSP1LU.css?_nc_x=Ij3Wp8lg5Kz","1","GET","static.xx.fbcdn.net","/rsrc.php/v3/yR/l/0,cross/Aq2X-oSP1LU.css?_nc_x=Ij3Wp8lg5Kz","19221.5","C6481C0A36A94048E19865FF642868F9","https://www.facebook.com/plugins/like_box.php?app_id=&channel=http%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter%2Fr%2FXBwzv5Yrm_1.js%3Fversion%3D42%23cb%3Df17e9f90a46dddc%26domain%3D202.83.164.138%26origin%3Dhttp%253A%252F%252F202.83.164.138%252Ff98bc654b66968%26relation%3Dparent.parent&container_width=0&header=false&height=490&href=https%3A%2F%2Fwww.facebook.com%2Fmoibnh%3Fskip_nax_wizard%3Dtrue&locale=en_GB&sdk=joey&show_faces=true&stream=true&width=260","200","Stylesheet","1275","1268","9406","9406.32","5630","5630","21272","Thu, 28 Mar 2024 18:34:23 GMT","public,max-age=31536000,immutable","text/css","gzip","186","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.facebook.com/plugins/like_box.php?app_id=&channel=http%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter%2Fr%2FXBwzv5Yrm_1.js%3Fversion%3D42%23cb%3Df17e9f90a46dddc%26domain%3D202.83.164.138%26origin%3Dhttp%253A%252F%252F202.83.164.138%252Ff98bc654b66968%26relation%3Dparent.parent&container_width=0&header=false&height=490&href=https%3A%2F%2Fwww.facebook.com%2Fmoibnh%3Fskip_nax_wizard%3Dtrue&locale=en_GB&sdk=joey&show_faces=true&stream=true&width=260","72","","parser","Highest","Highest","","2053","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","5630","0","","","","","31536000","Facebook","","9403","","","","","","","","10681","9406","10674","10674","10681","7","9406","10681","1275","26","27","","","","","1","0","blocking","","","3","","","","",
"3","230330_A8_CS","19065.27","127.0.0.1","https://pakistan.gov.pk/img/4.jpg","1","GET","pakistan.gov.pk","/img/4.jpg","19065.27","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Image","3483","3445","9686","9686.21","348846","348846","348846","","","image/jpeg","","43","http/1.1","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/","472","","parser","High","Low","","2086","0","0","-1","-1","100","-1","-1","37","-1","-1","-1","-1","","","","","348846","218964","0","","","8063","","","","","8081","","","13169","9686","13131","13131","13169","38","9686","13169","3483","27","28","","","","","1","0","","7","100","","","","","",
"3","230330_A8_CS","19065.26","127.0.0.1","https://pakistan.gov.pk/img/3.jpg","1","GET","pakistan.gov.pk","/img/3.jpg","19065.26","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Image","2645","2614","9751","9750.537","277823","277823","277823","","","image/jpeg","","23","http/1.1","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/","472","","parser","High","Low","","2086","0","0","-1","-1","100","-1","-1","32","-1","-1","-1","-1","","","","","277823","186346","0","","","8051","","","","","8081","","","12396","9751","12365","12365","12396","31","9751","12396","2645","28","29","","","","","1","0","","7","100","","","","","",
"3","230330_A8_CS","19245.2","127.0.0.1","https://syndication.twitter.com/settings?session_id=cf71783efb721b1fd2bff5b14cacdea3e3275d8e","1","GET","syndication.twitter.com","/settings?session_id=cf71783efb721b1fd2bff5b14cacdea3e3275d8e","19245.2","D8BF58C6CCE92763A361F3A158BDDB2C","https://platform.twitter.com/widgets/widget_iframe.2b2d73daf636805223fb11d48f3e94f7.html?origin=https%3A%2F%2Fpakistan.gov.pk","200","Fetch","1061","1055","10509","10508.778","284","284","664","","must-revalidate, max-age=600","application/json","gzip","205","HTTP/2","10383","10384","10482","10490","10491","10504","https://platform.twitter.com/widgets/widget_iframe.2b2d73daf636805223fb11d48f3e94f7.html?origin=https%3A%2F%2Fpakistan.gov.pk","87","255693","script","High","High","","2047","0","0","100","-1","100","-1","-1","-1","-1","1","8","13","284","0","","","","","600","","","10477","TLS 1.3","False","h2","4865","8081","","","11570","10509","11564","11564","11570","6","10383","11570","1083","29","30","","","","","1","0","","","","1","0","220","1","request",
