"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","cpu.FunctionCall","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings",
"3","230331_FJ_P","24629.47","127.0.0.1","https://www.agfp.gov.pk/css/font-awesome-animation.min.css","1","GET","www.agfp.gov.pk","/css/font-awesome-animation.min.css","24629.47","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Stylesheet","356","350","6476","6475.914","18434","18434","18434","","","text/css","","55","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/css/style-main.css","","","parser","Highest","Highest","","2308","0","0","10","-1","100","-1","-1","-1","-1","-1","-1","-1","18434","16447","","","","","0","","","5927","","","","","8081","","","6832","6476","6826","6826","6832","6","6476","6832","356","23","24","","","","1","0","blocking","","","","","","","","","",
"3","230331_FJ_P","24629.48","127.0.0.1","https://www.agfp.gov.pk/css/pe-icon-7-stroke.css","1","GET","www.agfp.gov.pk","/css/pe-icon-7-stroke.css","24629.48","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Stylesheet","314","308","6542","6541.774","10394","10394","10394","","","text/css","","91","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/css/style-main.css","","","parser","Highest","Highest","","2278","0","0","18","-1","100","-1","-1","-1","-1","-1","-1","-1","10394","8522","","","","","0","","","5931","","","","","8081","","","6856","6542","6850","6850","6856","6","6542","6856","314","24","25","","","","1","0","blocking","","","","","","","","","",
"3","230331_FJ_P","24629.49","127.0.0.1","https://www.agfp.gov.pk/css/flaticon-set-carfixing.css","1","GET","www.agfp.gov.pk","/css/flaticon-set-carfixing.css","24629.49","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Stylesheet","392","381","6629","6629.396","4052","4052","4052","","","text/css","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/css/style-main.css","","","parser","Highest","Highest","","2296","0","0","18","-1","100","-1","-1","-1","-1","-1","-1","-1","4052","3301","","","","","0","","","5936","","","","","8081","","","7021","6629","7010","7010","7021","11","6629","7021","392","25","26","","","","1","0","blocking","","","","","","","","","",
"3","230331_FJ_P","24629.50","127.0.0.1","https://www.agfp.gov.pk/css/utility-classes.css","1","GET","www.agfp.gov.pk","/css/utility-classes.css","24629.50","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Stylesheet","284","272","6775","6775.166","19780","19780","19780","","","text/css","","23","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/css/style-main.css","","","parser","Highest","Highest","","2275","0","0","14","-1","100","-1","-1","-1","-1","-1","-1","-1","19780","16815","","","","","0","","","5940","","","","","8081","","","7059","6775","7047","7047","7059","12","6775","7059","284","26","27","","","","1","0","blocking","","","","","","","","","",
"3","230331_FJ_P","24629.24","127.0.0.1","https://www.agfp.gov.pk/js/jquery-plugin-collection.js","1","GET","www.agfp.gov.pk","/js/jquery-plugin-collection.js","24629.24","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Script","3675","3604","6816","6815.955","710320","710320","710320","","","application/javascript","","49","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/Gallery","124","","parser","High","High","","2254","0","0","29","-1","100","-1","-1","-1","-1","-1","-1","-1","710320","499199","","","","","0","","","3185","","","","","8081","","","10491","6816","10420","10420","10491","71","6816","10491","3675","27","28","673","232","979","1","0","blocking","75","","","","","","","","",
"3","230331_FJ_P","24629.25","127.0.0.1","https://www.agfp.gov.pk/js/custom.js","1","GET","www.agfp.gov.pk","/js/custom.js","24629.25","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Script","749","707","6835","6834.681","97171","97171","97171","","","application/javascript","","55","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/Gallery","935","","parser","High","High","","2200","0","0","13","-1","100","-1","-1","-1","-1","-1","-1","-1","97171","84322","","","","","0","","","3193","","","","","8081","","","7584","6835","7542","7542","7584","42","6835","7584","749","28","29","26","18","155","1","0","in_body_parser_blocking","110","","","","","","","","",
"3","230331_FJ_P","24629.26","127.0.0.1","https://www.agfp.gov.pk/js/team_slider.js","1","GET","www.agfp.gov.pk","/js/team_slider.js","24629.26","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Script","516","510","6858","6858.453","464","464","464","","","application/javascript","","91","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/Gallery","936","","parser","High","High","","2215","0","0","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","0","","","3195","","","","","8081","","","7374","6858","7368","7368","7374","6","6858","7374","516","29","30","0","0","1","1","0","in_body_parser_blocking","","","","","","","","","",
"3","230331_FJ_P","24629.27","127.0.0.1","https://www.agfp.gov.pk/js/breaking-news-ticker.min.js","1","GET","www.agfp.gov.pk","/js/breaking-news-ticker.min.js","24629.27","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Script","381","375","7027","7027.172","10278","10278","10278","","","application/javascript","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/Gallery","941","","parser","High","High","","2254","0","0","26","-1","100","-1","-1","-1","-1","-1","-1","-1","10278","7564","","","","","0","","","3197","","","","","8081","","","7408","7027","7402","7402","7408","6","7027","7408","381","30","31","2","2","4","1","0","in_body_parser_blocking","","","","","","","","","",
"3","230331_FJ_P","24629.28","127.0.0.1","https://connect.facebook.net/en_GB/sdk.js","1","GET","connect.facebook.net","/en_GB/sdk.js","24629.28","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Script","158","151","7818","7817.534","1688","1688","3093","Fri, 31 Mar 2023 01:09:07 GMT","public,max-age=1200,stale-while-revalidate=3600","application/x-javascript","gzip","171","HTTP/2","3110","3110","7798","7800","7801","7813","https://www.agfp.gov.pk/Gallery","953","","parser","Low","Low","","1759","0","100","100","-1","100","-1","-1","-1","-1","0","2","12","1688","0","","","","","1200","Facebook","","7792","TLS 1.3","False","h2","4865","8081","","","7976","7818","7969","7969","7976","7","7798","7976","172","31","32","3","1","4","1","0","potentially_blocking","","1","0","147","1","","","","Array",
"3","230331_FJ_P","24629.29","127.0.0.1","https://platform.twitter.com/widgets.js","1","GET","platform.twitter.com","/widgets.js","24629.29","4C2161E1573696C0B5BE0BE38E4A0108","https://www.agfp.gov.pk/Gallery","200","Script","164","145","8013","8013.281","27630","27630","93239","","public, max-age=1800","application/javascript","gzip","178","http/1.1","3109","3109","8001","8003","8003","8012","https://www.agfp.gov.pk/Gallery","954","","parser","Low","Low","","1645","0","100","100","-1","100","-1","-1","-1","-1","0","2","9","27630","0","","","","","792","Fastly","","7997","TLS 1.3","False","http/1.1","4865","8081","","","8177","8013","8158","8158","8177","19","8001","8177","175","32","33","58","16","141","1","0","potentially_blocking","67","","","","","","","","",
