"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","cpu.FunctionCall","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","jpeg_scan_count","score_progressive_jpeg","initiator_function",
"3","230330_87_9H","31752.40","127.0.0.1","http://www.moib.gov.pk/css/font-awesome-animation.min.css","0","GET","www.moib.gov.pk","/css/font-awesome-animation.min.css","31752.40","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Stylesheet","580","568","4432","4431.709","18434","18434","18434","","","text/css","","61","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/css/style-main.css","","","parser","Highest","Highest","","1489","0","0","10","-1","100","-1","-1","-1","-1","-1","-1","-1","18434","16447","","","","","0","","","4146","8080","","","5012","4432","5000","5000","5012","12","4432","5012","580","22","23","","","","1","0","blocking","","","","","","","","","","","","",
"3","230330_87_9H","31752.41","127.0.0.1","http://www.moib.gov.pk/css/pe-icon-7-stroke.css","0","GET","www.moib.gov.pk","/css/pe-icon-7-stroke.css","31752.41","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Stylesheet","461","449","4696","4696.263","10394","10394","10394","","","text/css","","81","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/css/style-main.css","","","parser","Highest","Highest","","1459","0","0","18","-1","100","-1","-1","-1","-1","-1","-1","-1","10394","8522","","","","","0","","","4150","8080","","","5157","4696","5145","5145","5157","12","4696","5157","461","23","24","","","","1","0","blocking","","","","","","","","","","","","",
"3","230330_87_9H","31752.42","127.0.0.1","http://www.moib.gov.pk/css/flaticon-set-carfixing.css","0","GET","www.moib.gov.pk","/css/flaticon-set-carfixing.css","31752.42","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Stylesheet","400","394","4808","4808.189","4052","4052","4052","","","text/css","","25","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/css/style-main.css","","","parser","Highest","Highest","","1477","0","0","18","-1","100","-1","-1","-1","-1","-1","-1","-1","4052","3301","","","","","0","","","4154","8080","","","5208","4808","5202","5202","5208","6","4808","5208","400","24","25","","","","1","0","blocking","","","","","","","","","","","","",
"3","230330_87_9H","31752.43","127.0.0.1","http://www.moib.gov.pk/css/utility-classes.css","0","GET","www.moib.gov.pk","/css/utility-classes.css","31752.43","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Stylesheet","429","408","4936","4936.162","19780","19780","19780","","","text/css","","55","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/css/style-main.css","","","parser","Highest","Highest","","1456","0","0","15","-1","100","-1","-1","-1","-1","-1","-1","-1","19780","16812","","","","","0","","","4157","8080","","","5365","4936","5344","5344","5365","21","4936","5365","429","25","26","","","","1","0","blocking","","","","","","","","","","","","",
"3","230330_87_9H","31752.38","127.0.0.1","http://www.moib.gov.pk/js/breaking-news-ticker.min.js","0","GET","www.moib.gov.pk","/js/breaking-news-ticker.min.js","31752.38","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Script","370","363","5017","5017.333","10278","10278","10278","","","application/javascript","","61","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/","1010","","parser","High","High","","1378","0","0","26","-1","100","-1","-1","-1","-1","-1","-1","-1","10278","7564","","","","","0","","","2291","8080","","","5387","5017","5380","5380","5387","7","5017","5387","370","26","27","4","3","7","1","0","in_body_parser_blocking","","","","","","","","","","","","",
"3","230330_87_9H","31752.67","127.0.0.1","https://fonts.gstatic.com/s/opensans/v34/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2","1","GET","fonts.gstatic.com","/s/opensans/v34/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2","31752.67","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Font","681","647","7581","7580.903","39372","39372","39372","Tue, 26 Mar 2024 23:20:03 GMT","public, max-age=31536000","font/woff2","","149","HTTP/2","-1","-1","5377","5383","5383","5393","https://fonts.googleapis.com/css?family=Open+Sans:400,300,600,700,800|family=Raleway:400,200,300,500,600,700,800,900|family=Titillium+Web:400,200,300,600,700,900","","","parser","Lowest","Lowest","","2035","100","100","-1","-1","100","-1","-1","-1","-1","-1","6","10","","","","","","","31310739","Google","","7572","8081","","","8262","7581","8228","8228","8262","34","5377","8262","697","27","28","","","","1","0","non_blocking","","1","0","110","1","TLS 1.3","False","h2","4865","","","",
"3","230330_87_9H","31752.53","127.0.0.1","http://www.moib.gov.pk/fonts/fontawesome-webfont3295.woff2?v=4.5.0","0","GET","www.moib.gov.pk","/fonts/fontawesome-webfont3295.woff2?v=4.5.0","31752.53","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Font","784","772","7955","7955.441","66624","66624","66624","","","font/x-woff2","","23","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/css/font-awesome.min.css","","","parser","Lowest","Lowest","","1591","0","0","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","0","","","7951","8080","","","8739","7955","8727","8727","8739","12","7955","8739","784","28","29","","","","1","0","non_blocking","","","","","","","","","","","","",
"3","230330_87_9H","31752.102","127.0.0.1","http://www.moib.gov.pk/images/gop-logo.png","0","GET","www.moib.gov.pk","/images/gop-logo.png","31752.102","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Image","1426","1415","8044","8044.118","173519","173519","173519","","","image/png","","61","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/","803","","parser","High","Low","","1528","0","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","173519","0","0","","","8005","8080","","","9470","8044","9459","9459","9470","11","8044","9470","1426","29","30","","","","1","0","","","","","","","","","","","","","",
"3","230330_87_9H","31752.103","127.0.0.1","http://www.moib.gov.pk/images/75yearlogo.jpg","0","GET","www.moib.gov.pk","/images/75yearlogo.jpg","31752.103","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Image","565","561","8073","8072.62","13401","13401","13401","","","image/jpeg","","55","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/","803","","parser","High","Low","","1534","0","0","-1","-1","100","-1","-1","34","-1","-1","-1","-1","","","","","13401","8756","0","","","8009","8080","","","8638","8073","8634","8634","8638","4","8073","8638","565","30","31","","","","1","0","","","","","","","","","","","1","0","",
"3","230330_87_9H","31752.104","127.0.0.1","http://www.moib.gov.pk/images/Slider/Cyber_Wing_MoIB_11883.jpg","0","GET","www.moib.gov.pk","/images/Slider/Cyber_Wing_MoIB_11883.jpg","31752.104","33918261C8AEF93C19F4205FDDFBFE87","http://www.moib.gov.pk/","200","Image","7819","7753","8073","8073.056","741453","741453","741453","","","image/jpeg","","45","http/1.1","-1","-1","-1","-1","-1","-1","http://www.moib.gov.pk/","803","","parser","High","Low","","1588","0","0","-1","-1","100","-1","-1","41","-1","-1","-1","-1","","","","","741453","436270","0","","","8014","8080","","","15892","8073","15826","15826","15892","66","8073","15892","7819","31","32","","","","1","0","","","","","","","","","","","7","100","",
