"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpu.FunctionCall","cpuTime","run","cached","renderBlocking","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings",
"3","230330_6K_ES","32641.10","127.0.0.1","https://www.piac.com.pk/templates/piasubpage/css/jquery.scrollbar.css?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/piasubpage/css/jquery.scrollbar.css?f3479f8edf906ba500bd918b491dff14","32641.10","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Stylesheet","275","272","619","619.275","3071","3071","22615","Tue, 19 Mar 2024 05:18:26 GMT","public, max-age=31536000","text/css","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/site-map","112","","parser","Highest","Highest","","2026","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","3071","0","","","","","30632537","Cloudflare","","592","13","11","256","1","","","","","8081","","","894","619","891","891","894","3","619","894","275","7","8","","","","","1","0","blocking","","","","",
"3","230330_6K_ES","32641.11","127.0.0.1","https://www.piac.com.pk/templates/piasubpage/css/cookiealert.css?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/piasubpage/css/cookiealert.css?f3479f8edf906ba500bd918b491dff14","32641.11","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Stylesheet","242","236","620","619.745","303","303","562","Fri, 22 Mar 2024 20:11:09 GMT","public, max-age=31536000","text/css","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/site-map","113","","parser","Highest","Highest","","2011","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","303","0","","","","","30945300","Cloudflare","","596","15","13","256","1","","","","","8081","","","862","620","856","856","862","6","620","862","242","8","9","","","","","1","0","blocking","","","","",
"3","230330_6K_ES","32641.12","127.0.0.1","https://www.piac.com.pk/media/system/js/core.js?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/media/system/js/core.js?f3479f8edf906ba500bd918b491dff14","32641.12","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Script","259","245","620","620.191","3363","3363","8735","Tue, 19 Mar 2024 05:18:26 GMT","public, max-age=31536000","application/javascript","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/site-map","115","","parser","High","High","","1918","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","3363","0","","","","","30632537","Cloudflare","","597","17","15","220","1","","","","","8081","","","879","620","865","865","879","14","620","879","259","9","10","7","4","","11","1","0","blocking","","","","",
"3","230330_6K_ES","32641.13","127.0.0.1","https://www.piac.com.pk/templates/piasubpage/js/jquery-ui-datepicker.js?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/piasubpage/js/jquery-ui-datepicker.js?f3479f8edf906ba500bd918b491dff14","32641.13","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Script","269","265","621","620.578","14054","14054","54250","Tue, 19 Mar 2024 05:18:26 GMT","public, max-age=31536000","application/javascript","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/site-map","116","","parser","High","High","","1990","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","14054","0","","","","","30632537","Cloudflare","","599","19","17","220","1","","","","","8081","","","890","621","886","886","890","4","621","890","269","10","11","92","24","","115","1","0","blocking","","","","",
"3","230330_6K_ES","32641.14","127.0.0.1","https://www.piac.com.pk/templates/piasubpage/js/bootstrap.min.js?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/piasubpage/js/bootstrap.min.js?f3479f8edf906ba500bd918b491dff14","32641.14","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Script","263","260","621","620.958","9832","9832","37045","Tue, 19 Mar 2024 05:18:26 GMT","public, max-age=31536000","application/javascript","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/site-map","117","","parser","High","High","","1969","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","9832","0","","","","","30632537","Cloudflare","","600","21","19","220","1","","","","","8081","","","884","621","881","881","884","3","621","884","263","11","12","26","14","","39","1","0","blocking","","","","",
"3","230330_6K_ES","32641.15","127.0.0.1","https://www.piac.com.pk/templates/piasubpage/js/custom.js?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/piasubpage/js/custom.js?f3479f8edf906ba500bd918b491dff14","32641.15","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Script","278","274","621","621.385","1218","1218","4002","Tue, 19 Mar 2024 05:18:26 GMT","public, max-age=31536000","application/javascript","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/site-map","118","","parser","High","High","","1948","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1218","0","","","","","30632537","Cloudflare","","602","23","21","220","1","","","","","8081","","","899","621","895","895","899","4","621","899","278","12","13","4","2","","5","1","0","blocking","","","","",
"3","230330_6K_ES","32641.16","127.0.0.1","https://www.piac.com.pk/templates/piasubpage/js/cookie.js?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/piasubpage/js/cookie.js?f3479f8edf906ba500bd918b491dff14","32641.16","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Script","292","290","622","621.774","1401","1401","3567","Tue, 19 Mar 2024 05:18:26 GMT","public, max-age=31536000","application/javascript","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/site-map","119","","parser","High","High","","1948","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1401","0","","","","","30632537","Cloudflare","","603","25","23","220","1","","","","","8081","","","914","622","912","912","914","2","622","914","292","13","14","2","2","","4","1","0","blocking","","","","",
"3","230330_6K_ES","32641.17","127.0.0.1","https://www.piac.com.pk/media/system/js/keepalive.js?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/media/system/js/keepalive.js?f3479f8edf906ba500bd918b491dff14","32641.17","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Script","286","282","622","622.161","306","306","462","Fri, 22 Mar 2024 20:11:09 GMT","public, max-age=31536000","application/javascript","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/site-map","121","","parser","High","High","","1933","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","306","0","","","","","30945300","Cloudflare","","605","27","25","220","1","","","","","8081","","","908","622","904","904","908","4","622","908","286","14","15","0","0","3","4","1","0","blocking","","","","",
"3","230330_6K_ES","32641.18","127.0.0.1","https://www.piac.com.pk/templates/piasubpage/js/jui/bootstrap.min.js?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/piasubpage/js/jui/bootstrap.min.js?f3479f8edf906ba500bd918b491dff14","32641.18","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Script","287","279","623","622.612","136","136","188","Fri, 22 Mar 2024 20:11:09 GMT","public, max-age=31536000","application/javascript","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/site-map","122","","parser","High","High","","1981","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","136","0","","","","","30945300","Cloudflare","","606","29","27","220","1","","","","","8081","","","910","623","902","902","910","8","623","910","287","15","16","0","0","","1","1","0","blocking","","","","",
"3","230330_6K_ES","32641.19","127.0.0.1","https://www.piac.com.pk/templates/pia/js/cookiealert-standalone.js","1","GET","www.piac.com.pk","/templates/pia/js/cookiealert-standalone.js","32641.19","2727F89EB76D62450A9C21167A16C165","https://www.piac.com.pk/site-map","200","Script","287","283","623","623.004","597","597","1283","Tue, 19 Mar 2024 05:18:26 GMT","public, max-age=31536000","application/javascript","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/site-map","444","","parser","High","High","","1876","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","597","0","","","","","30632538","Cloudflare","","607","31","29","220","1","","","","","8081","","","910","623","906","906","910","4","623","910","287","16","17","65","1","","66","1","0","in_body_parser_blocking","","","","",
