"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpu.FunctionCall","cpuTime","run","cached","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","renderBlocking","initiator_function","jpeg_scan_count","score_progressive_jpeg","http2_server_settings",
"3","230330_K8_73","4577.15","127.0.0.1","https://mofa.gov.pk/wp-content/plugins/search-filter-pro/public/assets/css/search-filter.min.css?ver=2.4.6","1","GET","mofa.gov.pk","/wp-content/plugins/search-filter-pro/public/assets/css/search-filter.min.css?ver=2.4.6","4577.15","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","333","320","2825","2825.027","6369","6369","37477","","","text/css","gzip","98","http/1.1","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/cwc/","119","","parser","Highest","Highest","","2071","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","6369","0","","","","","0","","","1453","","","","","8081","","","3158","2825","3145","3145","3158","13","2825","3158","333","15","16","","","","","1","0","","","","","blocking","","","","",
"3","230330_K8_73","4577.16","127.0.0.1","https://mofa.gov.pk/wp-content/themes/citygov/style.css?ver=6.0.3","1","GET","mofa.gov.pk","/wp-content/themes/citygov/style.css?ver=6.0.3","4577.16","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","289","284","2888","2888.418","16149","16149","71420","","","text/css","gzip","110","http/1.1","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/cwc/","120","","parser","Highest","Highest","","1948","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","16149","0","","","","","0","","","1454","","","","","8081","","","3177","2888","3172","3172","3177","5","2888","3177","289","16","17","","","","","1","0","","","","","blocking","","","","",
"3","230330_K8_73","4577.17","127.0.0.1","https://mofa.gov.pk/wp-content/themes/citygov/styles/fontawesome.css?ver=6.0.3","1","GET","mofa.gov.pk","/wp-content/themes/citygov/styles/fontawesome.css?ver=6.0.3","4577.17","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","251","246","2944","2944.051","9929","9929","45683","","","text/css","gzip","25","http/1.1","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/cwc/","121","","parser","Highest","Highest","","1987","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","9929","0","","","","","0","","","1456","","","","","8081","","","3195","2944","3190","3190","3195","5","2944","3195","251","17","18","","","","","1","0","","","","","blocking","","","","",
"3","230330_K8_73","4577.18","127.0.0.1","https://mofa.gov.pk/wp-content/themes/citygov/style-mobile.css?ver=6.0.3","1","GET","mofa.gov.pk","/wp-content/themes/citygov/style-mobile.css?ver=6.0.3","4577.18","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","234","229","3062","3062.402","3805","3805","15523","","","text/css","gzip","90","http/1.1","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/cwc/","122","","parser","Highest","Highest","","1969","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","3805","0","","","","","0","","","1457","","","","","8081","","","3296","3062","3291","3291","3296","5","3062","3296","234","18","19","","","","","1","0","","","","","blocking","","","","",
"3","230330_K8_73","4577.19","127.0.0.1","https://mofa.gov.pk/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0","1","GET","mofa.gov.pk","/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0","4577.19","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","250","239","3074","3073.638","3977","3977","19363","","","text/css","gzip","23","http/1.1","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/cwc/","123","","parser","Highest","Highest","","2068","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","3977","0","","","","","0","","","1458","","","","","8081","","","3324","3074","3313","3313","3324","11","3074","3324","250","19","20","","","","","1","0","","","","","blocking","","","","",
"3","230330_K8_73","4577.20","127.0.0.1","https://mofa.gov.pk/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.12.0","1","GET","mofa.gov.pk","/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.12.0","4577.20","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","271","263","3154","3154.325","708","708","9921","","","text/css","gzip","104","http/1.1","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/cwc/","124","","parser","Highest","Highest","","2035","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","708","0","","","","","0","","","1460","","","","","8081","","","3425","3154","3417","3417","3425","8","3154","3425","271","20","21","","","","","1","0","","","","","blocking","","","","",
"3","230330_K8_73","4577.21","127.0.0.1","https://mofa.gov.pk/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.12.0","1","GET","mofa.gov.pk","/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.12.0","4577.21","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","302","268","3162","3162.007","16799","16799","132562","","","text/css","gzip","98","http/1.1","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/cwc/","125","","parser","Highest","Highest","","2014","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","16799","0","","","","","0","","","1461","","","","","8081","","","3464","3162","3430","3430","3464","34","3162","3464","302","21","22","","","","","1","0","","","","","blocking","","","","",
"3","230330_K8_73","4577.22","127.0.0.1","https://mofa.gov.pk/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6","1","GET","mofa.gov.pk","/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6","4577.22","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","264","260","3182","3181.809","2409","2409","12876","","","text/css","gzip","110","http/1.1","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/cwc/","126","","parser","Highest","Highest","","2038","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","2409","0","","","","","0","","","1463","","","","","8081","","","3446","3182","3442","3442","3446","4","3182","3446","264","22","23","","","","","1","0","","","","","blocking","","","","",
"3","230330_K8_73","4577.23","127.0.0.1","https://mofa.gov.pk/wp-content/uploads/elementor/css/post-56514.css?ver=1675929992","1","GET","mofa.gov.pk","/wp-content/uploads/elementor/css/post-56514.css?ver=1675929992","4577.23","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","252","248","3198","3198.109","360","360","1103","","","text/css","gzip","25","http/1.1","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/cwc/","127","","parser","Highest","Highest","","1999","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","360","0","","","","","0","","","1464","","","","","8081","","","3450","3198","3446","3446","3450","4","3198","3450","252","23","24","","","","","1","0","","","","","blocking","","","","",
"3","230330_K8_73","4577.24","127.0.0.1","https://mofa.gov.pk/wp-content/plugins/master-slider/public/assets/css/masterslider.main.css?ver=3.8.7","1","GET","mofa.gov.pk","/wp-content/plugins/master-slider/public/assets/css/masterslider.main.css?ver=3.8.7","4577.24","3B073FECC767FCFBE54BF510461B88EC","https://mofa.gov.pk/cwc/","200","Stylesheet","247","242","3305","3305.304","8017","8017","64689","","","text/css","gzip","90","http/1.1","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/cwc/","128","","parser","Highest","Highest","","2059","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","8017","0","","","","","0","","","1466","","","","","8081","","","3552","3305","3547","3547","3552","5","3305","3552","247","24","25","","","","","1","0","","","","","blocking","","","","",
