"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","cpu.FunctionCall","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","jpeg_scan_count","score_progressive_jpeg","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","initiator_function","http2_server_settings",
"3","230330_SZ_FH","19292.11","127.0.0.1","http://cms.ndma.gov.pk/public/assets/js/waypoints.min.js","0","GET","cms.ndma.gov.pk","/public/assets/js/waypoints.min.js","19292.11","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Script","494","489","3075","3075.25","2632","2632","8059","","","application/javascript","gzip","25","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/careers","663","","parser","High","High","","2857","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","2632","0","","","","","0","","","1618","8080","","","3569","3075","3564","3564","3569","5","3075","3569","494","22","23","4","2","7","1","0","in_body_parser_blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.12","127.0.0.1","http://cms.ndma.gov.pk/public/assets/js/jquery.easypiechart.min.js","0","GET","cms.ndma.gov.pk","/public/assets/js/jquery.easypiechart.min.js","19292.12","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Script","467","459","3097","3096.687","1698","1698","3998","","","application/javascript","gzip","63","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/careers","664","","parser","High","High","","2887","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1698","0","","","","","0","","","1623","8080","","","3564","3097","3556","3556","3564","8","3097","3564","467","23","24","2","1","3","1","0","in_body_parser_blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.13","127.0.0.1","http://cms.ndma.gov.pk/public/assets/assets/loader/js/classie.js","0","GET","cms.ndma.gov.pk","/public/assets/assets/loader/js/classie.js","19292.13","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Script","307","300","3237","3237.428","690","690","1915","","","application/javascript","gzip","43","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/careers","666","","parser","High","High","","2881","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","690","0","","","","","0","","","1625","8080","","","3544","3237","3537","3537","3544","7","3237","3544","307","24","25","1","1","2","1","0","in_body_parser_blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.14","127.0.0.1","http://cms.ndma.gov.pk/public/assets/assets/loader/js/pathLoader.js","0","GET","cms.ndma.gov.pk","/public/assets/assets/loader/js/pathLoader.js","19292.14","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Script","244","240","3330","3329.819","497","497","1063","","","application/javascript","gzip","23","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/careers","667","","parser","High","High","","2890","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","497","0","","","","","0","","","1627","8080","","","3574","3330","3570","3570","3574","4","3330","3574","244","25","26","1","0","1","1","0","in_body_parser_blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.15","127.0.0.1","http://cms.ndma.gov.pk/public/assets/assets/loader/js/main.js","0","GET","cms.ndma.gov.pk","/public/assets/assets/loader/js/main.js","19292.15","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Script","285","282","3334","3333.736","880","880","2423","","","application/javascript","gzip","53","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/careers","668","","parser","High","High","","2872","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","880","0","","","","","0","","","1629","8080","","","3619","3334","3616","3616","3619","3","3334","3619","285","26","27","2","1","3","1","0","in_body_parser_blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.16","127.0.0.1","http://cms.ndma.gov.pk/public/assets/js/classie.js","0","GET","cms.ndma.gov.pk","/public/assets/js/classie.js","19292.16","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Script","226","220","3593","3592.885","327","327","638","","","application/javascript","gzip","43","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/careers","669","","parser","High","High","","2839","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","327","0","","","","","0","","","1630","8080","","","3819","3593","3813","3813","3819","6","3593","3819","226","27","28","0","0","1","1","0","in_body_parser_blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.17","127.0.0.1","http://cms.ndma.gov.pk/public/assets/assets/switcher/js/switcher.js","0","GET","cms.ndma.gov.pk","/public/assets/assets/switcher/js/switcher.js","19292.17","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Script","366","360","3597","3596.665","849","849","2003","","","application/javascript","gzip","59","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/careers","671","","parser","High","High","","2890","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","849","0","","","","","0","","","1632","8080","","","3963","3597","3957","3957","3963","6","3597","3963","366","28","29","4","1","5","1","0","in_body_parser_blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.18","127.0.0.1","http://cms.ndma.gov.pk/public/assets/assets/owl-carousel/owl.carousel.min.js","0","GET","cms.ndma.gov.pk","/public/assets/assets/owl-carousel/owl.carousel.min.js","19292.18","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Script","253","246","3601","3601.402","6492","6492","23936","","","application/javascript","gzip","63","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/careers","673","","parser","High","High","","2917","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","6492","0","","","","","0","","","1633","8080","","","3854","3601","3847","3847","3854","7","3601","3854","253","29","30","13","11","24","1","0","in_body_parser_blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.19","127.0.0.1","http://cms.ndma.gov.pk/public/assets/assets/isotope/jquery.isotope.min.js","0","GET","cms.ndma.gov.pk","/public/assets/assets/isotope/jquery.isotope.min.js","19292.19","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Script","456","445","3605","3605.375","5062","5062","16045","","","application/javascript","gzip","25","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/careers","674","","parser","High","High","","2908","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","5062","0","","","","","0","","","1634","8080","","","4061","3605","4050","4050","4061","11","3605","4061","456","30","31","45","7","52","1","0","in_body_parser_blocking","","","","","","","","","","","","","",
"3","230330_SZ_FH","19292.20","127.0.0.1","http://cms.ndma.gov.pk/public/assets/js/jquery.smooth-scroll.js","0","GET","cms.ndma.gov.pk","/public/assets/js/jquery.smooth-scroll.js","19292.20","AFCB2098AFE342D15DFBC497D73C12F9","http://cms.ndma.gov.pk/careers","200","Script","463","456","3614","3614.128","2318","2318","7872","","","application/javascript","gzip","23","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/careers","676","","parser","High","High","","2878","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","2318","0","","","","","0","","","1636","8080","","","4077","3614","4070","4070","4077","7","3614","4077","463","31","32","4","3","7","1","0","in_body_parser_blocking","","","","","","","","","","","","","",
