"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","cpu.FunctionCall","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings",
"3","230330_GK_TP","32092.36","127.0.0.1","https://nitb.gov.pk/Content/include/rs-plugin/js/extensions/revolution.extension.actions.min.js","1","GET","nitb.gov.pk","/Content/include/rs-plugin/js/extensions/revolution.extension.actions.min.js","32092.36","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Script","349","336","9591","9590.783","8329","8329","8329","","","application/javascript","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/","1356","","parser","High","High","","2344","0","0","31","-1","100","-1","-1","-1","-1","-1","-1","-1","8329","5745","","","","","0","","","5100","","","","","8081","","","9940","9591","9927","9927","9940","13","9591","9940","349","20","21","3","3","6","1","0","in_body_parser_blocking","","","","","","","","","",
"3","230330_GK_TP","32092.37","127.0.0.1","https://nitb.gov.pk/Content/include/rs-plugin/js/extensions/revolution.extension.layeranimation.min.js","1","GET","nitb.gov.pk","/Content/include/rs-plugin/js/extensions/revolution.extension.layeranimation.min.js","32092.37","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Script","1032","1011","9943","9943.37","55809","55809","55809","","","application/javascript","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/","1357","","parser","High","High","","2365","0","0","25","-1","100","-1","-1","-1","-1","-1","-1","-1","55809","41525","","","","","0","","","5102","","","","","8081","","","10975","9943","10954","10954","10975","21","9943","10975","1032","21","22","16","16","49","1","0","in_body_parser_blocking","17","","","","","","","","",
"3","230330_GK_TP","32092.38","127.0.0.1","https://nitb.gov.pk/Content/include/rs-plugin/js/extensions/revolution.extension.kenburn.min.js","1","GET","nitb.gov.pk","/Content/include/rs-plugin/js/extensions/revolution.extension.kenburn.min.js","32092.38","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Script","282","269","10063","10063.494","3754","3754","3754","","","application/javascript","","43","http/1.1","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/","1358","","parser","High","High","","2344","0","0","41","-1","100","-1","-1","-1","-1","-1","-1","-1","3754","2180","","","","","0","","","5103","","","","","8081","","","10345","10063","10332","10332","10345","13","10063","10345","282","22","23","2","1","3","1","0","in_body_parser_blocking","","","","","","","","","",
"3","230330_GK_TP","32092.39","127.0.0.1","https://nitb.gov.pk/Content/include/rs-plugin/js/extensions/revolution.extension.navigation.min.js","1","GET","nitb.gov.pk","/Content/include/rs-plugin/js/extensions/revolution.extension.navigation.min.js","32092.39","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Script","554","544","10072","10071.782","26103","26103","26103","","","application/javascript","","55","http/1.1","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/","1359","","parser","High","High","","2353","0","0","26","-1","100","-1","-1","-1","-1","-1","-1","-1","26103","19061","","","","","0","","","5105","","","","","8081","","","10626","10072","10616","10616","10626","10","10072","10626","554","23","24","8","8","16","1","0","in_body_parser_blocking","","","","","","","","","",
"3","230330_GK_TP","32092.40","127.0.0.1","https://nitb.gov.pk/Content/include/rs-plugin/js/extensions/revolution.extension.migration.min.js","1","GET","nitb.gov.pk","/Content/include/rs-plugin/js/extensions/revolution.extension.migration.min.js","32092.40","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Script","330","317","10411","10410.911","26103","26103","26103","","","application/javascript","","43","http/1.1","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/","1360","","parser","High","High","","2350","0","0","26","-1","100","-1","-1","-1","-1","-1","-1","-1","26103","19061","","","","","0","","","5107","","","","","8081","","","10741","10411","10728","10728","10741","13","10411","10741","330","24","25","8","7","15","1","0","in_body_parser_blocking","","","","","","","","","",
"3","230330_GK_TP","32092.122","127.0.0.1","https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwJYtWqZPAA.woff2","1","GET","fonts.gstatic.com","/s/raleway/v14/1Ptrg8zYS_SKggPNwJYtWqZPAA.woff2","32092.122","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Font","1036","1031","10414","10413.564","20864","20864","20864","Tue, 26 Mar 2024 23:21:37 GMT","public, max-age=31536000","font/woff2","","150","HTTP/2","10297","10297","10368","10369","10370","10385","https://nitb.gov.pk/Content/font.css","","","parser","Lowest","Lowest","","1933","100","100","-1","-1","100","-1","-1","-1","-1","0","1","15","","","","","","","31277277","Google","","10360","TLS 1.3","False","h2","4865","8081","","","11450","10414","11445","11445","11450","5","10368","11450","1052","25","26","","","","1","0","non_blocking","","1","0","110","1","","","","",
"3","230330_GK_TP","32092.118","127.0.0.1","https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwN4rWqZPAA.woff2","1","GET","fonts.gstatic.com","/s/raleway/v14/1Ptrg8zYS_SKggPNwN4rWqZPAA.woff2","32092.118","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Font","966","960","10414","10414.021","21164","21164","21164","Fri, 29 Mar 2024 12:24:06 GMT","public, max-age=31536000","font/woff2","","150","HTTP/2","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/Content/font.css","","","parser","Lowest","Lowest","","1933","100","100","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","31497026","Google","","10386","","","","","8081","","","11380","10414","11374","11374","11380","6","10414","11380","966","26","27","","","","1","0","non_blocking","","3","1","110","1","","","","",
"3","230330_GK_TP","32092.104","127.0.0.1","https://fonts.gstatic.com/s/creteround/v8/55xqey1sJNPjPiv1ZZZrxK1-4b_oLg.woff2","1","GET","fonts.gstatic.com","/s/creteround/v8/55xqey1sJNPjPiv1ZZZrxK1-4b_oLg.woff2","32092.104","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Font","591","583","10414","10414.39","12896","12896","12896","Fri, 29 Mar 2024 12:46:06 GMT","public, max-age=31536000","font/woff2","","150","HTTP/2","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/Content/font.css","","","parser","Lowest","Lowest","","1951","100","100","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","31498346","Google","","10388","","","","","8081","","","11005","10414","10997","10997","11005","8","10414","11005","591","27","28","","","","1","0","non_blocking","","5","3","110","1","","","","",
"3","230330_GK_TP","32092.110","127.0.0.1","https://fonts.gstatic.com/s/lato/v16/S6uyw4BMUTPHjx4wXg.woff2","1","GET","fonts.gstatic.com","/s/lato/v16/S6uyw4BMUTPHjx4wXg.woff2","32092.110","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Font","706","699","10415","10415.452","23484","23484","23484","Fri, 29 Mar 2024 12:08:30 GMT","public, max-age=31536000","font/woff2","","150","HTTP/2","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/Content/font.css","","","parser","Lowest","Lowest","","1900","100","100","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","31496090","Google","","10372","","","","","8081","","","11121","10415","11114","11114","11121","7","10415","11121","706","28","29","","","","1","0","non_blocking","","7","5","110","1","","","","",
"3","230330_GK_TP","32092.116","127.0.0.1","https://fonts.gstatic.com/s/raleway/v14/1Ptug8zYS_SKggPNyC0ITw.woff2","1","GET","fonts.gstatic.com","/s/raleway/v14/1Ptug8zYS_SKggPNyC0ITw.woff2","32092.116","869BCE5F59615A6069DEE4E77064FD18","https://nitb.gov.pk/","200","Font","916","908","10418","10417.512","20724","20724","20724","Tue, 26 Mar 2024 23:21:08 GMT","public, max-age=31536000","font/woff2","","150","HTTP/2","-1","-1","-1","-1","-1","-1","https://nitb.gov.pk/Content/font.css","","","parser","Lowest","Lowest","","1921","100","100","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","31277248","Google","","10380","","","","","8081","","","11334","10418","11326","11326","11334","8","10418","11334","916","29","30","","","","1","0","non_blocking","","9","7","110","1","","","","",
